item_0851 beast
item_1077 dynamax-band
item_0700 elevator-key
item_1074 endorsement
item_0536 enigma-stone
item_0860 enigmatic-card
item_0775 eon-flute
item_0726 eon-ticket
item_1587 exp-charm
item_1015 exp-share
item_0428 explorer-kit
item_1016 fame-checker
item_0435 fashion-case
item_0844 festival-ticket
item_1080 fishing-rod
item_0841 forage-bag
item_0440 galactic-key
item_0502 gb-sounds
item_0728 go-goggles
item_1017 god-stone
item_0877 gold-teeth
item_0446 good-rod
item_0466 gracidea
item_0623 gram-1
item_0624 gram-2
item_0625 gram-3
item_0634 grubby-hanky
item_1255 hi-tech-earbuds
item_0641 holo-caster
item_1018 holo-caster--green
item_1019 holo-caster--red
item_0702 honor-of-kalos
item_1602 iceroot-carrot
item_0697 intriguing-stone
item_0532 jade-orb
item_0433 journal
item_0773 key-stone
item_0730 key-to-room-1
item_0731 key-to-room-2
item_0732 key-to-room-4
item_0733 key-to-room-6
item_1593 legendary-clue
item_0705 lens-case
item_0725 letter
item_0574 liberty-pass
item_0878 lift-key
item_0616 light-stone
item_0533 lock-capsule
item_0712 looker-ticket
item_0429 loot-sack
item_0479 lost-item
item_1020 lost-item-mimejr
item_0453 lunar-wing
item_0718 mach-bike
item_0481 machine-part
item_1021 magma-emblem
item_0458 magma-stone
item_0741 magma-suit
item_0706 makeup-bag
item_1589 mark-charm
item_0627 medal-box
item_0744 mega-bracelet
item_0716 mega-charm
item_0766 mega-cuff
item_0696 mega-ring
item_0454 member-card
item_0729 meteorite
item_1022 meteorite--2
item_1023 meteorite--3
item_1024 meteorite--4
item_0774 meteorite-shard
item_0858 moon-flute
item_0484 mystery-egg
item_1025 mysticticket
item_0944 n-lunarizer
item_0943 n-solarizer
item_1026 oaks-letter
item_0439 old-charm
item_1269 old-letter
item_0445 old-rod
item_1028 old-sea-map
item_0631 oval-charm
item_0743 pair-of-tickets
item_0437 pal-pad
item_0459 parcel
item_0480 pass
item_0630 permit
item_0501 photo-album
item_0633 plasma-card
item_0449 poffin-case
item_0432 point-card
item_0651 poke-flute
item_0431 poke-radar
item_1029 pokeblock-case
item_0724 pokeblock-kit
item_1075 pokemon-box-link
item_1030 powder-jar
item_0695 power-plant-pass
item_0765 prison-bottle
item_1031 professors-mask
item_1032 profs-letter
item_0578 prop-case
item_1599 radiant-petal
item_0941 rainbow-flower
item_1033 rainbow-pass
item_0483 rainbow-wing
item_0441 red-chain
item_0478 red-scale
item_1590 reins-of-unity
item_0638 reveal-glass
item_0850 ride-pager
item_1034 rm-1-key
item_1035 rm-2-key
item_1036 rm-4-key
item_1037 rm-6-key
item_0643 roller-skates
item_1081 rotom-bike-1
item_1266 rotom-bike-2
item_1585 rotom-bike-3
item_1586 rotom-bike-4
item_1278 rotom-catalog
item_1038 ruby
item_0430 rule-book
item_1039 sapphire
item_0727 scanner
item_0436 seal-bag
item_0434 seal-case
item_0467 secret-key-sinnoh
item_0464 secret-potion
item_1603 shaderoot-carrot
item_0632 shiny-charm
item_0874 silph-scope
item_0482 silver-wing
item_1271 sonias-book
item_0722 soot-sack
item_0845 sparkling-stone
item_1040 sparkling-stone-sm
item_0448 sprayduck
item_0689 sprinklotad
item_0477 squirt-bottle
item_0456 ss-ticket
item_0463 storage-key
item_1041 storage-key--galactic-warehouse
item_1042 storage-key--sea-mauville
item_1583 style-card
item_0451 suite-key
item_0857 sun-flute
item_0447 super-rod
item_0942 surge-badge
item_0113 tea
item_1043 teachy-tv
item_0503 tidal-bell
item_0701 tmv-pass
item_0442 town-map
item_0707 travel-trunk
item_1044 travel-trunk--gold
item_1045 travel-trunk--silver
item_1046 tri-pass
item_0469 unown-report
item_1047 vs-recorder
item_1048 vs-seeker
item_0720 wailmer-pail
item_1600 white-mane-hair
item_1265 wishing-chip
item_1076 wishing-star
item_1598 wooden-crown
item_0438 works-key
item_0621 xtransceiver
item_1049 xtransceiver--blue
item_1050 xtransceiver--red
item_1051 xtransceiver--yellow
item_0933 z-power-ring
item_0797 z-ring
item_0847 zygarde-cube
item_0128 battle-pocket
item_0124 candy-jar
item_0127 catching-pocket
item_0126 clothing-trunk
item_0122 medicine-pocket
item_0121 pokemon-box
item_0125 power-up-pocket
item_0123 tm-case
item_1052 air-mail
item_1053 bead-mail
item_1054 bloom-mail
item_1055 brick-mail
item_0145 bridge-mail-d
item_0148 bridge-mail-m
item_0144 bridge-mail-s
item_0146 bridge-mail-t
item_0147 bridge-mail-v
item_1056 bubble-mail
item_1057 dream-mail
item_1058 fab-mail
item_0138 favored-mail
item_1059 flame-mail
item_1060 glitter-mail
item_1061 grass-mail
item_0137 greet-mail
item_1062 harbor-mail
item_1063 heart-mail
item_0141 inquiry-mail
item_0142 like-mail
item_1064 mech-mail
item_1065 mosaic-mail
item_1066 orange-mail
item_0143 reply-mail
item_1067 retro-mail
item_0139 rsvp-mail
item_1068 shadow-mail
item_1069 snow-mail
item_1070 space-mail
item_1071 steel-mail
item_0140 thanks-mail
item_1072 tropic-mail
item_1073 tunnel-mail
item_1074 wave-mail
item_1075 wood-mail
item_0162 aguav
item_0205 apicot
item_0153 aspear
item_0199 babiri
item_0183 belue
item_0165 bluk
item_0195 charti
item_0149 cheri
item_0150 chesto
item_0200 chilan
item_0189 chople
item_0192 coba
item_0198 colbur
item_0175 cornn
item_0210 custap
item_0182 durin
item_0208 enigma
item_0159 figy
item_0202 ganlon
item_0864 golden-nanab
item_0866 golden-pinap
item_0862 golden-razz
item_0173 grepa
item_0197 haban
item_0172 hondew
item_0163 iapapa
item_0211 jaboca
item_0196 kasib
item_0190 kebia
item_0687 kee
item_0170 kelpsy
item_0206 lansat
item_0154 leppa
item_0201 liechi
item_0157 lum
item_0161 mago
item_0176 magost
item_0688 maranga
item_0209 micle
item_0166 nanab
item_0178 nomel
item_0184 occa
item_0155 oran
item_0180 pamtre
item_0185 passho
item_0193 payapa
item_0151 pecha
item_0156 persim
item_0204 petaya
item_0168 pinap
item_0169 pomeg
item_0171 qualot
item_0177 rabuta
item_0152 rawst
item_0164 razz
item_0187 rindo
item_0686 roseli
item_0212 rowap
item_0203 salac
item_0191 shuca
item_0863 silver-nanab
item_0865 silver-pinap
item_0861 silver-razz
item_0158 sitrus
item_0179 spelon
item_0207 starf
item_0174 tamato
item_0194 tanga
item_0186 wacan
item_0181 watmel
item_0167 wepear
item_0160 wiki
item_0188 yache
item_0215 macho-brace
item_0293 power-anklet
item_0292 power-band
item_0290 power-belt
item_0289 power-bracer
item_0291 power-lens
item_0294 power-weight
item_0316 full
item_0255 lax
item_0319 luck
item_0314 odd
item_0320 pure
item_0315 rock
item_0318 rose
item_0254 sea
item_0317 wave
item_0262 pink
item_0311 draco
item_0312 dread
item_0305 earth
item_0303 fist
item_0298 flame
item_0302 icicle
item_0308 insect
item_0301 meadow
item_0307 mind
item_0644 pixie
item_0306 sky
item_0299 splash
item_0310 spooky
item_0309 stone
item_0304 toxic
item_0300 zap
item_0403 bug
item_0328 dark
item_0329 dragon
item_0338 electric
item_0357 fairy
item_1076 fighting
item_0351 fire
item_1077 flying
item_0693 ghost
item_0349 grass
item_0353 ground
item_0334 ice
item_1078 normal
item_0333 poison
item_0330 psychic
item_0401 steel
item_1079 water
item_0674 abomasite
item_0677 absolite
item_0672 aerodactylite
item_0667 aggronite
item_0679 alakazite
item_0755 altarianite
item_0658 ampharosite
item_0757 audinite
item_0668 banettite
item_0770 beedrillite
item_0661 blastoisinite
item_0664 blazikenite
item_0767 cameruptite
item_0660 charizardite-x
item_0678 charizardite-y
item_0764 diancite
item_0756 galladite
item_0683 garchompite
item_0657 gardevoirite
item_0656 gengarite
item_0763 glalitite
item_0676 gyaradosite
item_0680 heracronite
item_0666 houndoominite
item_0675 kangaskhanite
item_0684 latiasite
item_0685 latiosite
item_0768 lopunnite
item_0673 lucarionite
item_0682 manectite
item_0681 mawilite
item_0665 medichamite
item_0758 metagrossite
item_0662 mewtwonite-x
item_0663 mewtwonite-y
item_0762 pidgeotite
item_0671 pinsirite
item_0754 sablenite
item_0769 salamencite
item_0753 sceptilite
item_0670 scizorite
item_0759 sharpedonite
item_0760 slowbronite
item_0761 steelixite
item_0752 swampertite
item_0669 tyranitarite
item_0659 venusaurite
item_0803 aloraichium-z--held
item_0787 buginium-z--held
item_0791 darkinium-z--held
item_0780 decidium-z--held
item_0790 dragonium-z--held
item_0805 eevium-z--held
item_0779 electrium-z--held
item_0793 fairium-z--held
item_0782 fightinium-z--held
item_0777 firium-z--held
item_0785 flyinium-z--held
item_0789 ghostium-z--held
item_0798 grassium-z--held
item_0784 groundium-z--held
item_0781 icium-z--held
item_0799 incinium-z--held
item_0926 kommonium-z--held
item_0922 lunalium-z--held
item_0925 lycanium-z--held
item_0802 marshadium-z--held
item_0806 mewnium-z--held
item_0924 mimikium-z--held
item_0776 normalium-z--held
item_0794 pikanium-z--held
item_0835 pikashunium-z--held
item_0783 poisonium-z--held
item_0778 primarium-z--held
item_0786 psychium-z--held
item_0788 rockium-z--held
item_0804 snorlium-z--held
item_0921 solganium-z--held
item_0792 steelium-z--held
item_0801 tapunium-z--held
item_0923 ultranecrozium-z--held
item_0800 waterium-z--held
item_0889 beach-glass
item_0886 chalky-stone
item_0890 gold-leaf
item_0894 leaf-letter-eevee
item_0895 leaf-letter-pikachu
item_0888 lone-earring
item_0887 marble
item_0892 polished-mud-ball
item_0891 silver-leaf
item_0896 small-bouquet
item_0885 stretchy-spring
item_0893 tropical-shell
item_0935 orange
item_0940 purple
item_0950 bargain
item_0959 catch
item_0954 encounter
item_1080 exp-points
item_0953 friendship
item_0949 hatch
item_0956 hp-restore
item_0957 pp-restore
item_0951 prize-money
item_0955 stealth
item_0964 courage
item_0970 courage-l
item_0976 courage-xl
item_0960 health
item_0966 health-l
item_0972 health-xl
item_0961 mighty
item_0967 mighty-l
item_0973 mighty-xl
item_0971 quick-l
item_0977 quick-xl
item_0963 smart
item_0969 smart-l
item_0975 smart-xl
item_0962 tough
item_0968 tough-l
item_0974 tough-xl
item_0981 brown
item_0985 gray
item_1086 bachs-food-tin
item_1085 bobs-food-tin
item_1099 boiled-egg
item_1088 bread
item_1094 brittle-bones
item_1261 coconut-milk
item_1093 fancy-apple
item_1259 fresh-cream
item_1098 fried-food
item_1256 fruit-bunch
item_1264 gigantamix
item_1262 instant-noodles
item_1092 large-leek
item_1090 mixed-mushrooms
item_1257 moomoo-cheese
item_1095 pack-of-potatoes
item_1260 packaged-curry
item_1089 pasta
item_1263 precooked-burger
item_1096 pungent-root
item_1097 salad-mix
item_1084 sausages
item_1091 smoke-poke-tail
item_1258 spice-mix
item_1087 tin-of-beans
item_1127 l
item_1126 m
item_1125 s
item_1128 xl
item_1124 xs
item_1231 attack
item_1235 defense
item_1251 neutral
item_1239 special-attack
item_1243 special-defense
item_1247 speed
